gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note,corpus_file
12952,Horae.,"Horae. [Ingolstadt: Drucker des Celtis (Johann Kachelofen), um 1492]. 16°",Ingolstadt,1492,1492,,ih00435630,https://gesamtkatalogderwiegendrucke.de/docs/GW12952.htm,https://data.cerl.org/istc/ih00435630,,horae-gw-corpus.csv
12953,Horae nostrae dominae secundum usum ecclesiae Romanae (Almanach 1490–1508).,"Horae nostrae dominae secundum usum ecclesiae Romanae (Almanach 1490–1508). [Kirchheim: Markus Reinhard, nicht vor 1490]. 8°",Kirchheim,1490,1490,,ih00366000,https://gesamtkatalogderwiegendrucke.de/docs/GW12953.htm,https://data.cerl.org/istc/ih00366000,,horae-gw-corpus.csv
12954,Horae nostrae dominae secundum usum ecclesiae Romanae.,"Horae nostrae dominae secundum usum ecclesiae Romanae. [Kirchheim: Markus Reinhard, nicht nach 1491]. 8°",Kirchheim,1491,1491,,ih00365800,https://gesamtkatalogderwiegendrucke.de/docs/GW12954.htm,https://data.cerl.org/istc/ih00365800,,horae-gw-corpus.csv
12955,Horae secundum ordinarium maioris ecclesiae Coloniensis (Köln). Daran: Andreas de Escobar: Modus confitendi.,"Horae secundum ordinarium maioris ecclesiae Coloniensis (Köln). Daran: Andreas de Escobar: Modus confitendi. [Köln: Retro Minores, um 1500]. 16°",Köln,1500,1500,,ih00344000,https://gesamtkatalogderwiegendrucke.de/docs/GW12955.htm,https://data.cerl.org/istc/ih00344000,,horae-gw-corpus.csv
12956,Horae. Orationale secundum ecclesiam Misnensem (Meißen).,"Horae. Orationale secundum ecclesiam Misnensem (Meißen). [Leipzig: Konrad Kachelofen, um 1495]. 8°",Leipzig,1495,1495,,ih00348050,https://gesamtkatalogderwiegendrucke.de/docs/GW12956.htm,https://data.cerl.org/istc/ih00348050,,horae-gw-corpus.csv
12957,Horae. Cursus diversi cum orationibus annexis.,"Horae. Cursus diversi cum orationibus annexis. Leipzig: Melchior Lotter, [14]99. 16°",Leipzig,1499,1499,,ih00427975,https://gesamtkatalogderwiegendrucke.de/docs/GW12957.htm,https://data.cerl.org/istc/ih00427975,,horae-gw-corpus.csv
12958,Horae. Cursus diversi cum orationibus annexis.,"Horae. Cursus diversi cum orationibus annexis. [Leipzig: Melchior Lotter, nach 1500(?)]. 16°",Leipzig,1500,1500,,ih00427977,https://gesamtkatalogderwiegendrucke.de/docs/GW12958.htm,https://data.cerl.org/istc/ih00427977,,horae-gw-corpus.csv
12959,Horae.,"Horae. [Lübeck: Lukas Brandis, um 1477/78; nicht nach 1490]. 8°",Lübeck,1477,1490,,io00051295,https://gesamtkatalogderwiegendrucke.de/docs/GW12959.htm,https://data.cerl.org/istc/io00051295,,horae-gw-corpus.csv
12960,Horae de compassione BMV. Davor: Meditatio brevissima super oratione dominica.,"Horae de compassione BMV. Davor: Meditatio brevissima super oratione dominica. [Lübeck: Matthäus Brandis, um 1488]. 8°",Lübeck,1488,1488,,io00065990,https://gesamtkatalogderwiegendrucke.de/docs/GW12960.htm,https://data.cerl.org/istc/io00065990,,horae-gw-corpus.csv
12961,Horae.,"Horae. Lübeck: [Mohnkopfdrucker (Hans van Ghetelen)], 1489. 16°",Lübeck,1489,1489,,ih00435150,https://gesamtkatalogderwiegendrucke.de/docs/GW12961.htm,https://data.cerl.org/istc/ih00435150,,horae-gw-corpus.csv
12962,Horae. Communis horarum cursus.,"Horae. Communis horarum cursus. [Magdeburg: Moritz Brandis, um 1500]. 16°",Magdeburg,1500,1500,,ih00436400,https://gesamtkatalogderwiegendrucke.de/docs/GW12962.htm,https://data.cerl.org/istc/ih00436400,,horae-gw-corpus.csv
