gw_id,gw_title,gw_heading,print_place_gw,year_from,year_to,language_statement_gw_title,istc_id,gw_url,istc_url,technical_note
13004,"Horae, niederdeutsch.","Horae, niederdeutsch. Lübeck: [Mohnkopfdrucker (Hans van Ghetelen)], 1487. 8°",Lübeck,1487,1487,niederdeutsch,ig00113130,https://gesamtkatalogderwiegendrucke.de/docs/GW13004.htm,https://data.cerl.org/istc/ig00113130,
13005,"Horae, niederdeutsch.","Horae, niederdeutsch. [Lübeck: Bartholomäus Ghotan(?), um 1490]. 32°",Lübeck,1490,1490,niederdeutsch,ig00113135,https://gesamtkatalogderwiegendrucke.de/docs/GW13005.htm,https://data.cerl.org/istc/ig00113135,
13006,"Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen.","Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen. [Lübeck]: Steffen Arndes, 1496. 8°",Lübeck,1496,1496,niederdeutsch,ig00113138,https://gesamtkatalogderwiegendrucke.de/docs/GW13006.htm,https://data.cerl.org/istc/ig00113138,
13007,"Horae, niederdeutsch.","Horae, niederdeutsch. [Lübeck: Drucker von Sixtus IV., Ave Maria (Einbl 389), um 1497(?)]. 32°",Lübeck,1497,1497,niederdeutsch,ig00113160,https://gesamtkatalogderwiegendrucke.de/docs/GW13007.htm,https://data.cerl.org/istc/ig00113160,
13008,"Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen.","Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen. [Lübeck: Steffen Arndes, um 1497]. 8°",Lübeck,1497,1497,niederdeutsch,ig00113150,https://gesamtkatalogderwiegendrucke.de/docs/GW13008.htm,https://data.cerl.org/istc/ig00113150,
13009,"Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen.","Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen. [Lübeck]: Steffen Arndes, 1497. 8°",Lübeck,1497,1497,niederdeutsch,ig00113140,https://gesamtkatalogderwiegendrucke.de/docs/GW13009.htm,https://data.cerl.org/istc/ig00113140,
13010,"Horae, niederdeutsch.","Horae, niederdeutsch. [Lübeck: Lukas Brandis(?), um 1499(?)]. 16°",Lübeck,1499,1499,niederdeutsch,ig00113180,https://gesamtkatalogderwiegendrucke.de/docs/GW13010.htm,https://data.cerl.org/istc/ig00113180,
13011,"Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen.","Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen. [Lübeck]: Steffen Arndes, 1499. 16°",Lübeck,1499,1499,niederdeutsch,ig00113170,https://gesamtkatalogderwiegendrucke.de/docs/GW13011.htm,https://data.cerl.org/istc/ig00113170,
13012,"Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen.","Horae, niederdeutsch. Seven tyde Unser Liever Vrauwen. [Magdeburg: Albert Ravenstein und Joachim Westval, um 1483/84]. 8°",Magdeburg,1483,1484,niederdeutsch,ig00113090,https://gesamtkatalogderwiegendrucke.de/docs/GW13012.htm,https://data.cerl.org/istc/ig00113090,
13013,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [London: Wilhelmus de Machlinia, um 1484]. 8°",London,1484,1484,,ih00420300,https://gesamtkatalogderwiegendrucke.de/docs/GW13013.htm,https://data.cerl.org/istc/ih00420300,
13014,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [London: Richard Pynson, um 1493]. 8°",London,1493,1493,,ih00420435,https://gesamtkatalogderwiegendrucke.de/docs/GW13014.htm,https://data.cerl.org/istc/ih00420435,
13015,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [London: Richard Pynson, um 1497]. 8°",London,1497,1497,,ih00420600,https://gesamtkatalogderwiegendrucke.de/docs/GW13015.htm,https://data.cerl.org/istc/ih00420600,
13016,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [London]: Richard Pynson, [um 1497]. 4°",London,1497,1497,,ih00420700,https://gesamtkatalogderwiegendrucke.de/docs/GW13016.htm,https://data.cerl.org/istc/ih00420700,
13017,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). London: [Julian Notary, Jean Barbier und I. H.] für Wynkyn de Worde, 3.IV.1497. 8°",London,1497,1497,,ih00420650,https://gesamtkatalogderwiegendrucke.de/docs/GW13017.htm,https://data.cerl.org/istc/ih00420650,
13018,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [London: Richard Pynson, um 1498]. 16°",London,1498,1498,,ih00424500,https://gesamtkatalogderwiegendrucke.de/docs/GW13018.htm,https://data.cerl.org/istc/ih00424500,
13019,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [London: Richard Pynson, um 1500]. 8°",London,1500,1500,,ih00425400,https://gesamtkatalogderwiegendrucke.de/docs/GW13019.htm,https://data.cerl.org/istc/ih00425400,
13020,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [London: Richard Pynson, um 1500]. 8°",London,1500,1500,,ih00425300,https://gesamtkatalogderwiegendrucke.de/docs/GW13020.htm,https://data.cerl.org/istc/ih00425300,
13021,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [Westminster: William Caxton, um 1478]. 4°",Westminster,1478,1478,,ih00420200,https://gesamtkatalogderwiegendrucke.de/docs/GW13021.htm,https://data.cerl.org/istc/ih00420200,
13022,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [Westminster: William Caxton, um 1484]. 8°",Westminster,1484,1484,,ih00420350; ih00420400,https://gesamtkatalogderwiegendrucke.de/docs/GW13022.htm,https://data.cerl.org/istc/ih00420350; https://data.cerl.org/istc/ih00420400,
13023,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [Westminster: William Caxton oder Wynkyn de Worde, um 1491/94]. 8°",Westminster,1491,1494,,,https://gesamtkatalogderwiegendrucke.de/docs/GW13023.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden
13024,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [Westminster: William Caxton oder Wynkyn de Worde, um 1491/94]. 4°",Westminster,1491,1494,,,https://gesamtkatalogderwiegendrucke.de/docs/GW13024.htm,,Im GW-Kopf keine ISTC-Verknüpfung gefunden
13025,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [Westminster: Wynkyn de Worde] auf Veranlassung von Elisabeth (von York), Königin von England, und Margaret Beaufort, [um 1493]. 4°",Westminster,1493,1493,,ih00420450; ih00420520,https://gesamtkatalogderwiegendrucke.de/docs/GW13025.htm,https://data.cerl.org/istc/ih00420450; https://data.cerl.org/istc/ih00420520,
13026,Horae ad usum Sarum (Salisbury).,"Horae ad usum Sarum (Salisbury). [Westminster: Wynkyn de Worde, um 1493/94]. 4°",Westminster,1493,1494,,ih00420500,https://gesamtkatalogderwiegendrucke.de/docs/GW13026.htm,https://data.cerl.org/istc/ih00420500,
13027,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). [Westminster: Wynkyn de Worde, um 1494]. 8°",Westminster,1494,1494,,ih00420550,https://gesamtkatalogderwiegendrucke.de/docs/GW13027.htm,https://data.cerl.org/istc/ih00420550,
13028,Horae ad usum Sarum (Salisbury)(?).,"Horae ad usum Sarum (Salisbury)(?). Westminster: Julian Notary, 2.IV.1500. 64°",Westminster,1500,1500,,ih00425200,https://gesamtkatalogderwiegendrucke.de/docs/GW13028.htm,https://data.cerl.org/istc/ih00425200,
13029,Horae ad usum Romanum.,"Horae ad usum Romanum. [Genf: Louis Cruse, um 1479]. 24(?)°",Genf,1479,1479,,ih00357400,https://gesamtkatalogderwiegendrucke.de/docs/GW13029.htm,https://data.cerl.org/istc/ih00357400,
13030,Horae ad usum Gebennensem (Genf).,"Horae ad usum Gebennensem (Genf). [Genf: Louis Cruse, um 1479]. 16°",Genf,1479,1479,,ih00344650,https://gesamtkatalogderwiegendrucke.de/docs/GW13030.htm,https://data.cerl.org/istc/ih00344650,
13031,Horae ad usum Romanum.,"Horae ad usum Romanum. [Genf: Louis Cruse, um 1480]. 16°",Genf,1480,1480,,ih00357440,https://gesamtkatalogderwiegendrucke.de/docs/GW13031.htm,https://data.cerl.org/istc/ih00357440,
13032,Horae ad usum Tarantasiensem (Tarentaise).,"Horae ad usum Tarantasiensem (Tarentaise). [Genf(?): Drucker des Missale Romanum (H 11399) (Louis Cruse?) , um 1493/95]. 16°",Genf(?),1493,1495,,ih00425700,https://gesamtkatalogderwiegendrucke.de/docs/GW13032.htm,https://data.cerl.org/istc/ih00425700,
13033,Horae ad usum Ebroicensem (Évreux).,"Horae ad usum Ebroicensem (Évreux). Goupillières: Michel Andrieu, 8.V.1491. 8°",Goupillières,1491,1491,,ih00344500,https://gesamtkatalogderwiegendrucke.de/docs/GW13033.htm,https://data.cerl.org/istc/ih00344500,
13034,Horae. Officium BMV secundum usum Romanum.,"Horae. Officium BMV secundum usum Romanum. [Lyon: Jean Trechsel, um 1489]. 16°",Lyon,1489,1489,,ih00362700,https://gesamtkatalogderwiegendrucke.de/docs/GW13034.htm,https://data.cerl.org/istc/ih00362700,
13035,Horae ad usum Romanum.,"Horae ad usum Romanum. Lyon: Jean Du Pré, 11.IX.1490. 16°",Lyon,1490,1490,,ih00365240,https://gesamtkatalogderwiegendrucke.de/docs/GW13035.htm,https://data.cerl.org/istc/ih00365240,
13036,Horae.,"Horae. [Lyon: Jean Du Pré, nach 1491(?)]. 4°",Lyon,1491,1491,,ih00328300,https://gesamtkatalogderwiegendrucke.de/docs/GW13036.htm,https://data.cerl.org/istc/ih00328300,
13037,Horae. Officium BMV secundum usum Romanum.,"Horae. Officium BMV secundum usum Romanum. Lyon: [Nicolaus de Benedictis für] Boninus de Boninis, 20.III.1499. 8°",Lyon,1499,1499,,ih00399360,https://gesamtkatalogderwiegendrucke.de/docs/GW13037.htm,https://data.cerl.org/istc/ih00399360,
